date,people_vaccinated_per_hundred,q50,q_up,q_down
2020-12-19,0,0.01,0.015,0.005
2020-12-20,0.09,0.17,0.58,0.085
2020-12-21,0.37,0,0.09,0
2020-12-22,0.88,0,0,0
2020-12-23,1.6,0,0.075,0
2020-12-24,2.44,0,0,0
2020-12-25,2.88,0,0,0
2020-12-26,3.25,0.02,0.0775,0
2020-12-27,4.44,0.01,0.045000000000000005,0
2020-12-28,5.98,0.01,0.03,0
2020-12-29,7.76,0.01,0.07,0
2020-12-30,9.5,0.02,0.18,0
2020-12-31,11.31,0,0.045,0
2021-01-01,12.12,0,0.025,0
2021-01-02,12.94,0,0.135,0
2021-01-03,14.64,0,0.15500000000000003,0
2021-01-04,16.26,0.01,0.175,0
2021-01-05,17.68,0.02,0.255,0
2021-01-06,18.84,0.045,0.305,0
2021-01-07,20.16,0.055,0.40249999999999997,0
2021-01-08,20.91,0.155,0.545,0
2021-01-09,21.42,0.03,0.4275,0
2021-01-10,21.84,0.08,0.46,0
2021-01-11,22.08,0.28,0.68,0
2021-01-12,22.35,0.38,0.82,0
2021-01-13,22.94,0.285,0.8374999999999999,0
2021-01-14,23.58,0.485,1.0575,0
2021-01-15,23.92,0.63,1.1425,0
2021-01-16,24.26,0.46,1.1375,0
2021-01-17,25.04,0.47,1.1375,0
2021-01-18,25.84,0.71,1.3,0
2021-01-19,26.68,0.86,1.415,0
2021-01-20,27.58,1.045,1.6224999999999998,0
2021-01-21,28.4,1.18,1.7025000000000001,0
2021-01-22,28.84,1.355,1.8075,0
2021-01-23,29.31,1.4649999999999999,1.8450000000000002,0
2021-01-24,30.13,1.47,2.0175,0
2021-01-25,31.15,1.565,2.1025,0.0725
2021-01-26,32.08,1.6749999999999998,2.175,0.075
2021-01-27,33.02,1.88,2.3225,0.345
2021-01-28,33.96,1.97,2.2975,0.3475
2021-01-29,34.4,2.02,2.3925,0
2021-01-30,34.8,2.13,2.415,0
2021-01-31,35.66,2.145,2.57,0
2021-02-01,36.62,2.2350000000000003,2.6075,0.12
2021-02-02,37.43,2.26,2.6149999999999998,0.38249999999999995
2021-02-03,38.12,2.5549999999999997,2.74,2.0475
2021-02-04,38.95,2.61,2.8125,1.9575
2021-02-05,39.34,2.72,2.97,2.24
2021-02-06,39.59,2.7350000000000003,3.05,2.3175
