date,daily_vaccinations_per_million,q50,q_up,q_down
2020-12-19,NA,1236,1236,1236
2020-12-20,845,665.5,950.75,380.25
2020-12-21,1853,173,665.5,134
2020-12-22,2943,381,730.5,238
2020-12-23,4004,450,726.5,272.5
2020-12-24,4882,459,659.5,284
2020-12-25,4800,298.5,569.75,133.75
2020-12-26,4643,277,605.75,123
2020-12-27,6228,245,560.75,114.5
2020-12-28,8014,191,346.75,108.75
2020-12-29,9823,161.5,441.75,80.25
2020-12-30,11280,212,484,70
2020-12-31,12666,177,463,99.25
2021-01-01,13203,166,432,82.25
2021-01-02,13846,181.5,364.75,79
2021-01-03,14567,186.5,359.5,76.5
2021-01-04,14678,208,381.5,95
2021-01-05,14167,262,493.5,111.25
2021-01-06,13347,338.5,581.5,192
2021-01-07,12640,406,693,254
2021-01-08,12554,565,800.5,313.5
2021-01-09,12108,547,831.5,333
2021-01-10,10389,559,943.5,335.5
2021-01-11,8732,556.5,952,346.25
2021-01-12,7672,622,1038.25,361
2021-01-13,7775,760.5,1043,451
2021-01-14,7928,836,1064,554
2021-01-15,7931,899,1226,550
2021-01-16,8107,897,1276,601
2021-01-17,9886,922,1260,632
2021-01-18,12323,925,1227,722
2021-01-19,14774,941,1229.5,696
2021-01-20,16602,1006,1267,748.75
2021-01-21,18384,1047,1317.75,782
2021-01-22,19085,1012.5,1352.5,801
2021-01-23,19715,1091.5,1387.5,845
2021-01-24,20651,1113.5,1433.75,853
2021-01-25,21156,1123,1401.25,809.25
2021-01-26,21066,1150.5,1370.75,791.75
2021-01-27,20788,1078.5,1430.75,873.5
2021-01-28,20417,1052.5,1300,970.25
2021-01-29,20296,1137,1433.25,984.25
2021-01-30,20029,1203,1522.75,972.25
2021-01-31,18785,1197.5,1535.75,970
2021-02-01,17123,1185.5,1523.75,931.75
2021-02-02,15444,1202.5,1563,945.5
2021-02-03,13905,1215,1672,1010
2021-02-04,12568,1376.5,1689.75,1136.75
2021-02-05,11931,1342,1737,1070
2021-02-06,11363,1409,1753,1104.25
